[43/81] Area_4/office_16 pre k=32: flashknn=290.0MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[43/81] Area_4/office_16 post k=32: flashknn=121.5MiB, cuda_kdtree=37.9MiB, faiss_flat=1564.4MiB, faiss_ivf=1567.2MiB
[44/81] Area_4/office_17 pre k=32: flashknn=290.3MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[44/81] Area_4/office_17 post k=32: flashknn=121.7MiB, cuda_kdtree=37.7MiB, faiss_flat=1564.1MiB, faiss_ivf=1566.8MiB
[45/81] Area_4/office_9 pre k=32: flashknn=291.9MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[45/81] Area_4/office_9 post k=32: flashknn=120.7MiB, cuda_kdtree=37.7MiB, faiss_flat=1564.1MiB, faiss_ivf=1566.8MiB
[46/81] Area_5/conferenceRoom_1 pre k=32: flashknn=290.8MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.1MiB
[46/81] Area_5/conferenceRoom_1 post k=32: flashknn=120.1MiB, cuda_kdtree=37.5MiB, faiss_flat=1563.8MiB, faiss_ivf=1566.5MiB
[47/81] Area_5/conferenceRoom_2 pre k=32: flashknn=291.4MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[47/81] Area_5/conferenceRoom_2 post k=32: flashknn=122.9MiB, cuda_kdtree=38.0MiB, faiss_flat=1564.5MiB, faiss_ivf=1567.4MiB
[48/81] Area_5/conferenceRoom_3 pre k=32: flashknn=291.2MiB, cuda_kdtree=82.6MiB, faiss_flat=1632.3MiB, faiss_ivf=1635.2MiB
[48/81] Area_5/conferenceRoom_3 post k=32: flashknn=121.4MiB, cuda_kdtree=37.8MiB, faiss_flat=1564.9MiB, faiss_ivf=1567.6MiB
