room,points,boundary_points,boundary_fraction,subset,method,count,accuracy,mean_class_accuracy,miou
5_office_7,58197,679,0.01166727,non_boundary,ExactKNN,57518,0.93878438,0.90939058,0.86188556
5_office_8,61568,431,0.00700039,all,FlashKNN,61568,0.93417035,0.89807158,0.81672885
5_office_8,61568,431,0.00700039,all,ExactKNN,61568,0.95076988,0.91290775,0.84612144
5_office_8,61568,431,0.00700039,semantic_boundary,FlashKNN,431,0.60788863,0.54755537,0.35459979
5_office_8,61568,431,0.00700039,semantic_boundary,ExactKNN,431,0.60324826,0.48979467,0.33068518
5_office_8,61568,431,0.00700039,non_boundary,FlashKNN,61137,0.93647055,0.90095839,0.82082047
5_office_8,61568,431,0.00700039,non_boundary,ExactKNN,61137,0.95321982,0.91625658,0.85064710
5_office_10,52490,655,0.01247857,all,FlashKNN,52490,0.94728520,0.89557602,0.85520005
5_office_10,52490,655,0.01247857,all,ExactKNN,52490,0.93718804,0.87799610,0.83201521
5_office_10,52490,655,0.01247857,semantic_boundary,FlashKNN,655,0.70992366,0.54656284,0.41159687
5_office_10,52490,655,0.01247857,semantic_boundary,ExactKNN,655,0.69770992,0.52751111,0.39131233
5_office_10,52490,655,0.01247857,non_boundary,FlashKNN,51835,0.95028456,0.89851542,0.85953009
5_office_10,52490,655,0.01247857,non_boundary,ExactKNN,51835,0.94021414,0.88094584,0.83603350
5_office_11,59782,367,0.00613897,all,FlashKNN,59782,0.96406945,0.93947548,0.88724226
5_office_11,59782,367,0.00613897,all,ExactKNN,59782,0.96035596,0.92555789,0.84319880
5_office_11,59782,367,0.00613897,semantic_boundary,FlashKNN,367,0.67029973,0.60925851,0.46871043
5_office_11,59782,367,0.00613897,semantic_boundary,ExactKNN,367,0.67302452,0.61663479,0.47602632
5_office_11,59782,367,0.00613897,non_boundary,FlashKNN,59415,0.96588404,0.94301562,0.89277701
5_office_11,59782,367,0.00613897,non_boundary,ExactKNN,59415,0.96213078,0.92872244,0.84716513
5_conferenceRoom_2,131210,907,0.00691258,all,FlashKNN,131210,0.94270254,0.91902164,0.88014378
5_conferenceRoom_2,131210,907,0.00691258,all,ExactKNN,131210,0.95002667,0.93978236,0.90177163
5_conferenceRoom_2,131210,907,0.00691258,semantic_boundary,FlashKNN,907,0.71223815,0.66099950,0.44930223
5_conferenceRoom_2,131210,907,0.00691258,semantic_boundary,ExactKNN,907,0.73098126,0.69964576,0.46958440
5_conferenceRoom_2,131210,907,0.00691258,non_boundary,FlashKNN,130303,0.94430673,0.92082451,0.88339397
5_conferenceRoom_2,131210,907,0.00691258,non_boundary,ExactKNN,130303,0.95155138,0.94140281,0.90490235
5_hallway_6,71708,708,0.00987338,all,FlashKNN,71708,0.96442517,0.94910204,0.92273176
5_hallway_6,71708,708,0.00987338,all,ExactKNN,71708,0.96385341,0.93934702,0.91710447
5_hallway_6,71708,708,0.00987338,semantic_boundary,FlashKNN,708,0.75847458,0.63250436,0.52405633
5_hallway_6,71708,708,0.00987338,semantic_boundary,ExactKNN,708,0.78672316,0.62492625,0.53205200
5_hallway_6,71708,708,0.00987338,non_boundary,FlashKNN,71000,0.96647887,0.95176648,0.92843369
5_hallway_6,71708,708,0.00987338,non_boundary,ExactKNN,71000,0.96561972,0.94201288,0.92202759
5_office_12,58680,744,0.01267894,all,FlashKNN,58680,0.91019087,0.90445168,0.82929214
5_office_12,58680,744,0.01267894,all,ExactKNN,58680,0.91046353,0.91637835,0.75173970
5_office_12,58680,744,0.01267894,semantic_boundary,FlashKNN,744,0.58870968,0.57243565,0.40045145
5_office_12,58680,744,0.01267894,semantic_boundary,ExactKNN,744,0.61290323,0.62415595,0.45801381
5_office_12,58680,744,0.01267894,non_boundary,FlashKNN,57936,0.91431925,0.91105588,0.83723558
5_office_12,58680,744,0.01267894,non_boundary,ExactKNN,57936,0.91428473,0.92151111,0.75712046
5_office_35,61829,553,0.00894402,all,FlashKNN,61829,0.96820262,0.96326349,0.84307589
5_office_35,61829,553,0.00894402,all,ExactKNN,61829,0.96493555,0.95860709,0.83574273
5_office_35,61829,553,0.00894402,semantic_boundary,FlashKNN,553,0.66546112,0.55726681,0.35761915
5_office_35,61829,553,0.00894402,semantic_boundary,ExactKNN,553,0.65461121,0.53270710,0.34183512
5_office_35,61829,553,0.00894402,non_boundary,FlashKNN,61276,0.97093479,0.96812265,0.84913884
5_office_35,61829,553,0.00894402,non_boundary,ExactKNN,61276,0.96773614,0.96343190,0.84149033
5_storage_2,56069,663,0.01182472,all,FlashKNN,56069,0.81813480,0.85094654,0.75772384
5_storage_2,56069,663,0.01182472,all,ExactKNN,56069,0.81153579,0.84703009,0.56087902
5_storage_2,56069,663,0.01182472,semantic_boundary,FlashKNN,663,0.54298643,0.48916384,0.33423875
5_storage_2,56069,663,0.01182472,semantic_boundary,ExactKNN,663,0.54901961,0.47467597,0.28586194
5_storage_2,56069,663,0.01182472,non_boundary,FlashKNN,55406,0.82142728,0.85483458,0.76347886
5_storage_2,56069,663,0.01182472,non_boundary,ExactKNN,55406,0.81467711,0.85065376,0.56479441
5_office_18,86032,513,0.00596290,all,FlashKNN,86032,0.96525711,0.92733094,0.89461417
5_office_18,86032,513,0.00596290,all,ExactKNN,86032,0.96873256,0.92669239,0.89523643
5_office_18,86032,513,0.00596290,semantic_boundary,FlashKNN,513,0.77192982,0.56029682,0.44466018
5_office_18,86032,513,0.00596290,semantic_boundary,ExactKNN,513,0.79337232,0.61012488,0.46680082
5_office_18,86032,513,0.00596290,non_boundary,FlashKNN,85519,0.96641682,0.92947468,0.89802817
5_office_18,86032,513,0.00596290,non_boundary,ExactKNN,85519,0.96978449,0.92832964,0.89811837
5_hallway_15,87033,487,0.00559558,all,FlashKNN,87033,0.82885802,0.68535864,0.46181474
5_hallway_15,87033,487,0.00559558,all,ExactKNN,87033,0.83114451,0.68436854,0.46374234
5_hallway_15,87033,487,0.00559558,semantic_boundary,FlashKNN,487,0.48254620,0.43882434,0.22386678
5_hallway_15,87033,487,0.00559558,semantic_boundary,ExactKNN,487,0.50102669,0.39449705,0.25447215
5_hallway_15,87033,487,0.00559558,non_boundary,FlashKNN,86546,0.83080674,0.68604348,0.46323588
5_hallway_15,87033,487,0.00559558,non_boundary,ExactKNN,86546,0.83300210,0.68508197,0.46508905
5_hallway_13,84227,363,0.00430978,all,FlashKNN,84227,0.89021335,0.81809026,0.57888218
5_hallway_13,84227,363,0.00430978,all,ExactKNN,84227,0.88906170,0.81333325,0.66471701
5_hallway_13,84227,363,0.00430978,semantic_boundary,FlashKNN,363,0.61983471,0.50011820,0.22188066
5_hallway_13,84227,363,0.00430978,semantic_boundary,ExactKNN,363,0.69972452,0.50061728,0.25770088
